City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Kayseri,40,Good,1,Good,31,Good,0,Good,40,Good
Kelkheim,52,Moderate,1,Good,27,Good,3,Good,52,Moderate
Keshabpur,165,Unhealthy,6,Good,74,Moderate,5,Good,165,Unhealthy
Roselle,68,Moderate,2,Good,15,Good,20,Good,68,Moderate
Ruangwa,45,Good,1,Good,20,Good,0,Good,45,Good
Rubano,92,Moderate,2,Good,32,Good,6,Good,92,Moderate
Rubiera,74,Moderate,1,Good,29,Good,6,Good,74,Moderate
Saint Raphael,88,Moderate,1,Good,33,Good,6,Good,88,Moderate
Samthar,234,Very Unhealthy,1,Good,47,Good,0,Good,234,Very Unhealthy
San Anselmo,45,Good,1,Good,22,Good,10,Good,45,Good
San Donato Milanese,94,Moderate,1,Good,37,Good,5,Good,94,Moderate
San Rafael,79,Moderate,2,Good,5,Good,13,Good,79,Moderate
San Salvador,107,Unhealthy for Sensitive Groups,3,Good,20,Good,10,Good,107,Unhealthy for Sensitive Groups
Sanary Sur Mer,72,Moderate,1,Good,35,Good,10,Good,72,Moderate
Sangre Grande,161,Unhealthy,0,Good,21,Good,3,Good,161,Unhealthy
Santa Rita Do Passa Quatro,58,Moderate,1,Good,6,Good,4,Good,58,Moderate
Santander De Quilichao,62,Moderate,2,Good,3,Good,5,Good,62,Moderate
Sao Cristovao,22,Good,0,Good,22,Good,0,Good,14,Good
Sao Lourenco Da Mata,43,Good,1,Good,18,Good,4,Good,43,Good
Sao Miguel Dos Campos,31,Good,0,Good,18,Good,1,Good,31,Good
Saratoga Springs,57,Moderate,2,Good,13,Good,9,Good,57,Moderate
Satte,45,Good,1,Good,43,Good,3,Good,45,Good
Satuk,41,Good,0,Good,28,Good,0,Good,41,Good
Savannakhet,51,Moderate,0,Good,29,Good,0,Good,51,Moderate
Sayat,78,Moderate,1,Good,47,Good,0,Good,78,Moderate
Sayla,158,Unhealthy,0,Good,33,Good,0,Good,158,Unhealthy
Scandicci,35,Good,1,Good,35,Good,3,Good,17,Good
Scheemda,36,Good,0,Good,36,Good,0,Good,33,Good
Scranton,35,Good,1,Good,33,Good,5,Good,35,Good
Seesen,42,Good,0,Good,32,Good,1,Good,42,Good
Selam,74,Moderate,1,Good,27,Good,3,Good,74,Moderate
Senges,29,Good,1,Good,14,Good,1,Good,29,Good
Senlis,53,Moderate,1,Good,24,Good,3,Good,53,Moderate
Sesimbra,32,Good,1,Good,31,Good,3,Good,32,Good
Sessa Aurunca,36,Good,1,Good,36,Good,3,Good,24,Good
Severodvinsk,27,Good,1,Good,27,Good,0,Good,8,Good
Eppingen,51,Moderate,1,Good,28,Good,3,Good,51,Moderate
Ergolding,51,Moderate,1,Good,38,Good,1,Good,51,Moderate
Esna,166,Unhealthy,1,Good,37,Good,1,Good,166,Unhealthy
Sheboygan,52,Moderate,2,Good,19,Good,13,Good,52,Moderate
Shelui,20,Good,0,Good,16,Good,0,Good,20,Good
Shilovo,34,Good,1,Good,34,Good,0,Good,21,Good
Shurugwi,39,Good,0,Good,17,Good,0,Good,39,Good
Sidhauli,173,Unhealthy,3,Good,173,Unhealthy,2,Good,171,Unhealthy
Sile,40,Good,1,Good,40,Good,0,Good,27,Good
Siofok,59,Moderate,1,Good,40,Good,1,Good,59,Moderate
Siraha,65,Moderate,2,Good,44,Good,1,Good,65,Moderate
Skhodnya,45,Good,1,Good,23,Good,9,Good,45,Good
Slavuta,106,Unhealthy for Sensitive Groups,1,Good,40,Good,0,Good,106,Unhealthy for Sensitive Groups
Sliema,39,Good,1,Good,39,Good,2,Good,21,Good
Sligo,32,Good,0,Good,32,Good,0,Good,13,Good
Slupsk,33,Good,0,Good,33,Good,0,Good,27,Good
Sokoni,37,Good,0,Good,25,Good,0,Good,37,Good
Susa,31,Good,1,Good,31,Good,0,Good,28,Good
Susice,59,Moderate,1,Good,33,Good,2,Good,59,Moderate
Svatove,37,Good,1,Good,37,Good,1,Good,11,Good
Svirsk,43,Good,1,Good,43,Good,0,Good,21,Good
Tagawa,45,Good,1,Good,45,Good,0,Good,38,Good
Tak,68,Moderate,0,Good,19,Good,0,Good,68,Moderate
Takahama,44,Good,1,Good,44,Good,1,Good,18,Good
Talikota,79,Moderate,0,Good,25,Good,0,Good,79,Moderate
Tallahassee,55,Moderate,1,Good,16,Good,7,Good,55,Moderate
Tamamura,43,Good,1,Good,43,Good,1,Good,27,Good
Tambaram,79,Moderate,1,Good,30,Good,1,Good,79,Moderate
Tandahimba,31,Good,0,Good,20,Good,0,Good,31,Good
Tangerang,201,Very Unhealthy,5,Good,201,Very Unhealthy,3,Good,167,Unhealthy
Tangub,50,Good,0,Good,15,Good,0,Good,50,Good
Taozhuang,155,Unhealthy,3,Good,155,Unhealthy,4,Good,104,Unhealthy for Sensitive Groups
Tapiramuta,16,Good,0,Good,12,Good,0,Good,16,Good
Tarare,24,Good,1,Good,24,Good,3,Good,22,Good
Taraza,49,Good,2,Good,1,Good,2,Good,49,Good
Targu Lapus,67,Moderate,1,Good,42,Good,0,Good,67,Moderate
Targu Mures,64,Moderate,1,Good,37,Good,1,Good,64,Moderate
Taruma,33,Good,1,Good,13,Good,1,Good,33,Good
Rangpur,58,Moderate,2,Good,44,Good,1,Good,58,Moderate
Redford,51,Moderate,1,Good,30,Good,8,Good,51,Moderate
Reims,49,Good,1,Good,26,Good,3,Good,49,Good
Rho,99,Moderate,1,Good,37,Good,4,Good,99,Moderate
Rizal,84,Moderate,1,Good,31,Good,1,Good,84,Moderate
Roeselare,43,Good,1,Good,31,Good,3,Good,43,Good
Somain,50,Good,1,Good,23,Good,5,Good,50,Good
Sovetskaya,47,Good,1,Good,39,Good,0,Good,47,Good
Staromyshastovskaya,34,Good,1,Good,34,Good,1,Good,34,Good
Steinbach,52,Moderate,1,Good,26,Good,3,Good,52,Moderate
Suining,146,Unhealthy for Sensitive Groups,4,Good,141,Unhealthy for Sensitive Groups,5,Good,146,Unhealthy for Sensitive Groups
